"Console","Type","Code","Bitmask","IsError","Name","Description"
"XOP","SMC","0xE001",,1,"FATAL_V12","V_12P0 not available / not detected / timeout. -> Check short on V_12P0, check powersupply, check V_EXT (R5R20, R5R19), check PSU_V12P0_EN (R9A2, R9B2)"
"XOP","SMC","0xE002",,1,"FATAL_V5","V_5P0 not available / timeout. -> Check short on V_5P0, check U3E2, Q3E1, Q3E2 and surrounding resistors."
"XOP","SMC","0xE003",,1,"FATAL_PWRGPA","PWRGPA timeout / not reporting PWRGD -> Check short on V_3P3, V_SOC1P8PLL, VMEMIOAB/CD, VTT[ABCD]. Pull VREG_PWRGPA_EN to V_3P3STBY manually and check V_3P3, V_SOC1P8PLL, VMEMIOAB/CD, (VTT[ABCD]) voltages."
"XOP","SMC","0xE004",,1,"FATAL_SBPOWERUP2",
"XOP","SMC","0xE005",,1,"FATAL_PWRGPB","PWRGPB timeout / not reporting PWRGD -> Check short on V_SOCPHY, V_NBCORE, V_MEMCORE. Pull VREG_PWRGPB_EN to V_3P3STBY manually and check V_FUSE, V_SOCPHY, V_NBCORE, V_MEMCORE voltages."
"XOP","SMC","0xE006",,1,"FATAL_CPUGFX","CPUGFX_PWRGD timeout / not reporting PWRGD -> Check short on V_CPUCORE, V_GFXCORE (they can be low resistance, dont confuse with a short!), check R9C64, U9D2, U9D3, U9D4, U9E1, U9E2 drivers, 10 mosfets, surrounding resistors and U9C2."
"XOP","SMC","0xE007",,1,"FATAL_FAN_STARTUP",
"XOP","SMC","0xE008",,1,"FATAL_SBPOWERUP1","Wait for `SBPowerUp1(0)` to complete"
"XOP","SMC","0xE009",,1,"FATAL_09",
"XOP","SMC","0xE00A",,1,"FATAL_FAN_RUN",
"XOP","SMC","0xE010",,1,"FATAL_POWER_STABILIZE_RETRY","Voltage low / unstable. check capacitors"
"XOP","SMC","0xE011",,1,"THERMAL_OVERTEMP_THRESHOLD","Overtemperature unknown"
"XOP","SMC","0xE042",,1,"FATAL_V_5P0_I2C_UNREACHABLE","U3E2 I2C unreachable -> Check surrounding traces, replace U3E2"
"XOP","SMC","0xE046",,1,"FATAL_GFXCPU_I2C_UNREACHABLE","NCP4204 I2C unreachable -> Check R9C1, R9C2, surrounding traces, replace U9C2"
